blockNumber,confirmations,Month,Day,Hour,mean_value_received,variance_value_received,total_received,time_diff_first_last_received,total_tx_sent,total_tx_sent_malicious,total_tx_sent_unique,total_tx_sent_malicious_unique,total_tx_received_malicious_unique,Fraud
19625420,240855,4,10,13,0.6629273848348886,2.8894509980446283,44.41613478393754,1093.5818287037036,437.0,0.0,49.0,0.0,0.0,0
13999402,5866759,1,13,20,9.61181876090909,214.11240849041275,211.46001274,999.3920138888888,192.0,0.0,45.0,0.0,0.0,0
14854791,5011719,5,27,15,3.960847048998452,69.43545781729125,229.7291288419102,1325.6926967592592,516.0,0.0,115.0,0.0,0.0,0
14701369,5165112,5,3,0,0.0409961828579099,0.0012570829661394,0.2049809142895496,180.6541550925926,4.0,0.0,1.0,0.0,0.0,0
12518657,7347815,5,27,21,4.248895167692308,26.31446239600756,55.235637180000005,728.7940162037037,11.0,0.0,2.0,0.0,0.0,0
16581907,3284481,2,8,5,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
17448715,2417407,6,10,8,0.1794046915315128,0.0440503088749169,26.551894346663897,1114.6554282407408,316.0,0.0,20.0,0.0,0.0,0
16491099,3375289,1,26,12,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
19618746,247550,4,9,14,0.4640774126138288,0.1557724344711244,92.81548252276576,586.0211458333333,222.0,0.0,1.0,0.0,0.0,0
16279796,3586592,12,28,0,0.49419249,0.0,0.49419249,0.0,9996.0,0.0,682.0,0.0,0.0,0
18066550,1799845,9,4,23,0.3541478775,0.0864283164941616,1.41659151,132.30513888888888,27.0,0.0,2.0,0.0,0.0,0
17030128,2836380,4,12,6,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0
15927051,3939327,11,8,18,1.1151111111111112,8.206338318750001,90.324,687.9482291666667,64.0,0.0,7.0,0.0,0.0,0
17848398,2017910,8,5,11,0.1206466151626683,0.0369805996455388,12.305954746592176,403.1883333333333,701.0,0.0,12.0,0.0,0.0,0
19754334,111971,4,28,14,17.90981164459716,3483.3288596627085,3778.97025701,1667.256539351852,1708.0,1.0,495.0,1.0,0.0,0
18049883,1816401,9,2,16,0.1781578507998937,0.0367418330976469,22.8042049023864,893.6865393518518,349.0,0.0,70.0,0.0,0.0,0
17825923,2040210,8,2,7,0.4820222223552325,2.2561152036916776,28.43931111895872,794.8252662037037,120.0,0.0,40.0,0.0,0.0,0
14107145,5759073,1,30,12,0.7191616281275156,2.4829310353091985,76.95029420964417,977.5517476851852,590.0,0.0,228.0,0.0,0.0,0
7864662,12001705,5,31,2,0.0,0.0,0.0,0.0,610.0,4.0,5.0,1.0,0.0,0
16076522,3789599,11,29,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
14887865,4978459,6,2,0,0.8169005406408081,1.883895975499167,31.042220544350705,259.24707175925926,199.0,0.0,34.0,0.0,0.0,0
14924199,4941918,6,8,2,0.2004633619717352,0.0897829953352524,9.822704736615028,830.1717129629629,88.0,0.0,27.0,0.0,0.0,0
14849037,5017106,5,26,16,0.3762815380750671,1.1666490389371498,327.3649381253084,722.2234722222222,1114.0,0.0,310.0,0.0,0.0,0
19486703,379831,3,22,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
15009918,4856564,6,22,22,0.7185255226605191,0.9224358304063208,69.69697569807035,996.9334375,214.0,0.0,63.0,0.0,0.0,0
16769437,3096646,3,6,12,0.0,0.0,0.0,0.0,129.0,0.0,1.0,0.0,0.0,0
19700442,165659,4,21,1,0.1987661299999999,0.0295064119020321,1.78889517,124.05625,171.0,0.0,2.0,0.0,0.0,0
14242954,5623351,2,20,12,0.379984784111635,1.6107964584119807,125.01499397272792,2254.177025462963,2151.0,0.0,346.0,0.0,0.0,0
19387248,478888,3,8,1,1.996405151903944,2.711211827423671,33.93888758236704,127.68263888888887,44.0,0.0,13.0,0.0,0.0,0
19676158,189896,4,17,15,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0
18972744,893538,1,9,23,0.2665084681935163,12.189521460290544,270.5060952164191,1327.2347569444444,131.0,0.0,20.0,0.0,0.0,0
14417874,5448431,3,19,16,0.0,0.0,0.0,0.0,998.0,0.0,171.0,0.0,0.0,0
19490972,375297,3,22,15,0.0,0.0,0.0,0.0,52.0,0.0,20.0,0.0,0.0,0
17116918,2749447,4,24,15,0.0279715811005478,0.0020175482930608,0.4475452976087662,511.61274305555554,25.0,0.0,1.0,0.0,0.0,0
10080279,9786075,5,17,0,0.008,0.0,0.008,0.0,2.0,0.0,1.0,0.0,0.0,0
10967383,8898984,10,1,1,0.0,0.0,0.0,0.0,610.0,4.0,5.0,1.0,0.0,0
19599642,266657,4,6,22,0.0,0.0,0.0,0.0,358.0,0.0,102.0,0.0,0.0,0
15016162,4850087,6,24,2,0.9995721727403998,14.280313627174994,277.88106402183115,1066.3243402777778,1281.0,0.0,88.0,0.0,0.0,0
12049549,7816838,3,16,12,0.6915094359459459,3.788437062867943,25.58584913,2572.0828703703705,52.0,0.0,33.0,0.0,0.0,0
18557819,1308241,11,12,19,0.686091864209608,3.51580988727422,19.89666406207863,294.8720833333333,129.0,0.0,22.0,0.0,0.0,0
18320522,1545611,10,10,14,0.0,0.0,0.0,0.0,1496.0,0.0,653.0,0.0,0.0,0
19769860,96499,4,30,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
16739020,3127329,3,2,6,0.02,0.0,0.04,0.02625,8.0,0.0,1.0,0.0,0.0,0
19030321,836121,1,18,0,0.652052598904964,0.3205783165965294,7.824631186859569,91.89777777777778,284.0,0.0,7.0,0.0,0.0,0
16351744,3514505,1,7,1,0.0803214551237242,0.0216695721626526,20.64261396679713,764.6669675925926,545.0,0.0,86.0,0.0,0.0,0
17216225,2649963,5,8,13,0.4290670821883937,2.9757758296570413,31.75096408194113,1313.1125925925926,32.0,0.0,11.0,0.0,0.0,0
